id,text
1,Ko je odgovoran za rastući ponos u brazilskim zajednicama?
2,Koje godine je visokoškolski tehnološki institut stekao mogućnost da izdaje diplome iz tehnologije?
3,Šta je bio problem ranih 1800-ih godina?
4,Koliko puta nalog mora da prekrši autorska prava da bi ga obrisali?
5,Koliko je bila vredna pogodba?
6,Koje godine se to dogodilo?
7,Kako je tvrdio da je ukrao FA kup?
8,Mogu li da igraju i novi klubovi?
9,U kom vremenskom okviru su ovi ljudi bili porobljeni?
10,Zašto se održava na Vembli stadionu?
11,Zašto je ovo novo pravilo uvedeno da stupa na snagu?
12,Kada se Afrika sudarila sa Evroazijom čiji je morski put prestao da bude tokom miocena?
13,"Prema Modelu akcione tendencije, suprotno od pristupa se opisuje kao kakvo nepokretno?"
14,Šta je navelo desničarske vlasti Latinske Amerike da podrže državni udar?
15,Šta odlučuje glasanje na ovim prostorima od kraja 20. veka?
16,U kojoj godini su liberali osvojili ogromnu većinu na opštim izborima?
17,Odakle je poreklo tkanja ćilima u carstvu?
18,Koji je to jedan univerzitet koji je osnovan u carstvu početkom 18. veka?
19,Šta se odnosi na poreze a rezultat je postojanja nemuslimana u carstvu?
20,Ko je češće bio porobljen?
21,Da li ima opet neka sledeća promena na mapi?
22,Koje dinamičke potrebe su bile razlog za izgradnju?
23,Koja vrsta muzike se razvila pred kraj ere?
24,U kom veku je indijska kultura bila neprijateljski recipirana?
25,Koji je glavni razlog zbog koga su neke zemlje bile izostavljene iz izveštaja za 2010. godinu?
26,Kako se raspoređuje poslednja četvrtina novca?
27,Koliko je članova bilo u „predsedništvu” u Jajcu?
28,Koje su prvih 6 kola?
29,Kolika je prosečna posećenost utakmica za ligu?
30,Koji Španac je vodio bitku 1571. godine?
31,Ko su bili neki od ovih ranih lekara?
32,Kakva je vrsta sporazuma sa Emiratima?
33,Koje godine je u jugoslovenskoj partiji već osnovan špijunski lanac?
34,Gde se većina povreda dešava?
35,"Pojačani prihod finansira šta, pored Gugla?"
36,Koji kanal je zvanično pokrenuo novogodišnje emitovanje?
37,Koja je bila granica njegove memorije velike brzine?
38,Koliko je minimalno vreme koje prođe pre nego što se većina snimaka objavi za gledanje?
39,Koliko dugo ostaje sponzor?
40,Koja ekipa je 1999. godine imala startnu postavu koju su činili potpuno strani igrači?
41,Šta je bio kanal u početnom modelu?
42,Koliko dugo su klubovi bili zabranjeni?
43,Koji akt je omogućio da politehnike postanu univerziteti?
44,Kada su se Vlasi preselili u region?
45,Koje godine je osnovana politehnička škola?
46,Koliko dugo je osoba nazvana „doživotni predsednik” obavljala zvanje?
47,Kada će isteći Bi-Bi-Si-jev vikend paket najistaknutijih događaja?
48,Koji tim je završio četvrti u sezoni 2009./2010. godine?
49,Koji su bili glavni uticaji na službeni jezik carstva?
50,Da li je klub kasnije zažalio zbog svog izbora?
51,Da li je bilo kojoj drugoj zemlji od tada dozvoljeno da učestvuje u takmičenju?
52,Zašto je ekonomija počela da se širi?
53,Kako se zvao ugovor iz 1832. godine?
54,Ko objavljuje pravila igre?
55,Koji je jezik bio jezik 3/4 stanovništva?
56,Kada je počela patnja Jevreja?
57,Na koliko teritorija se emituje Premijer liga?
58,"Šta je nestalo, a zatim ponovo kreirano kako bi se izvodila muzika tog perioda?"
59,Kako glasi latinska reč za arhitekturu?
60,Koja liga ulazi u treće kolo?
61,Kada je regrutovan u vojsku?
62,Gde su mogući osumnjičeni prebačeni?
63,Za koji tim je postignut prvi gol?
64,Koliko metoda korupcije postoji u pravosuđu?
65,Koja merna jedinica je sada izražena zakonima?
66,"Šta sledi kada se parametar smanji, a prvo se imenuje preostali numerički parametar?"
67,U kojoj sezoni FA kupa se to dogodilo?
68,Ko je pomagao u operacijama u severoistočnim oblastima Jugoslavije?
69,"Šta su oni radili tokom Arapskog proleća koristeći Jutjub, kako je rekao jedan aktivista?"
70,Koja istorija je trebalo da bude uključena u poređenje?
71,U kojoj godini su neki delovi Osmanskog carstva stekli nezavisnost?
72,Ko je predsednik FAPL-a i kada je imenovan?
73,Koliko je bila stopa kašnjenja hipotekarskih kredita u 2008. godini?
74,"Antropolozi razvoja žele da znaju zašto, ako je cilj da se smanji siromaštvo, šta čini to siromaštvo?"
75,Za šta je nagrada dodeljena 1998. godine?
76,Kada su se preselili u Izrael?
77,Koji trener je obnovio uniforme igračima 1933. godine?
78,Koji su delovi trofeja?
79,Gde se dešava apsorpcija?
80,Mogu li Velški klubovi da učestvuju u takmičenju?
81,Šta zakon zahteva od kriminalca?
82,Koje gimnastičke aparate koristi grupa?
83,Kada se održava finale?
84,Koja je jedna vrsta verskog događaja na koji šira javnost može doći da proba stvaranje carske palate?
85,Ko ga je zarobio tokom Prvog svetskog rata?
86,Dela iz Zlatnog doba muzike usklađuju radnju sa čim?
87,Većina video snimka omogućava korisnicima da šta rade?
88,Šta pobednici dobijaju?
89,Koja disciplina studente osnovnih studija može  zainteresovati opštezdravstvene studije?
90,Kada igrači mogu sasvim da pomeraju loptu u bilo kom pravcu?
91,Kada je uspostavljen moderan kup?
92,Koje je američko odeljenje istražilo optužbe?
93,Koliko stanovništva carstva su činili muslimani u 1820-im godinama?
94,Koliko sati videa je postavljano svakog minuta od 2014. godine?
95,Ko je sproveo studiju iz 2007. godine?
96,Kada se igraju revanš utakmice?
97,Koliko igrača ima u svakom timu?
98,"Šta još mogu imati oni koji primaju pomoć veze, plaćati mito ili?"
99,Zašto je dobila ovu nagradu?
100,Mogu li produžiti svoj ugovor?
101,Koji su bili glavni sudovi carstva?
102,Ko organizuje Svetska prvenstva?
103,Ko je postavio prvi primer okruženja koji se nastavlja i danas?
104,Koliko dugo traje program?
105,Ko je bio prvi klub izvan koji je pobedio?
106,Koji je bio rekordan honorar za prelaz u 1996. godini?
107,Kako se zvala funkcionalnost koja je korisnicima dala mogućnost da sačuvaju snimak sajta?
108,Koji tip računara izvrši asemblerski jezik koji je pretvoren na mašinski jezik?
109,Za šta je bila odgovorna federalna vlada?
110,Šta znači kleptokratija?
111,Koja vrsta kontejnera može da se koristiti za prevoz točenog piva i da li je bolja za životnu sredinu od flaše?
112,Koliki je bio iznos od prvih pet sezona prava Skaj-a?
113,Koliko je dizajna trofeja bilo?
114,Koji period karakteriše  21. vek?
115,Kakav efekat je način naplate poreza uticao na njegov prihod?
116,Odakle dolazi bogatstvo zlatnog doba?
117,Koja su dva različita rezultata?
118,Kakav je tip napada bio u Bosni?
119,Sa kojim godinama argumentuje Li da počinje i završava se nesposobna vladavina carstva?
120,Na koju grupu su se ljudi katoličke vere uglavnom referisali?
