id,text
1,Koji su neki grandž bendovi sa jakim uticajem iz 1970-ih godina?
2,Šta znači negrito?
3,Koji sudija je poništio presudu Kiza?
4,Koji arapski termin se još uvek koristi za crne ljude?
5,"Šta znači ""A šprah iz a dijalekta sa a armej un flot"" na engleskom?"
6,Koji dijalekti nisu pratili novoštokavsku retrakciju?
7,Kako se zove bol koji brzo prolazi?
8,Koja osoba je bila najviše rangirana u Osmanskom carstvu do 19. veka?
9,Šta se desilo sa ruskom carskom vojskom u toku oktobarske rezolucije?
10,Kada je termin antropologija korišćen kao naziv za komparativnu anatomiju?
11,Šta je Bela kuća smatrala neophodnim prilikom stvaranja sadržaja na Jutjub-u?
12,Koju luku je izgubilo Osmansko carstvo kao rezultat Beogradskog sporazuma?
13,"Reč ,,arhitektura“ je kombinacija koje dve reči?"
14,Kakav tip ugrađenog prijemnika će omogućiti televizoru spremnom za kablovsku da prikazuje VD sadržaj bez prijemnika spolja?
15,U kojoj nadležnosti su podnete protivtužbe Internet arhive?
16,Šta rade POST-i?
17,Vihuele i hurdi-gurdi se trenutno povezuju sa kojom vrstom muzike?
18,Koji je drugi termin za specifične formalne recepte?
19,"U baroknom periodu, ko bi improvizovao preludijume?"
20,Koje oblasti Afrike su bile pod kontrolom Osmanskog carstva?
21,Koji je prvi datum kada je Osmansko carstvo imalo vazdušnu vojnu jedinicu?
22,Čija su izdanja započela teoriju prirodne fonologije?
23,Ko je postao generalni sekretar KPJ nakon što je prethodni ubijen?
24,Koji je termin za bol koji je akutan i ne rešava se normalnim lečenjem?
25,Kome je Tito formalno bio  saveznik posle Drugog svetskog rata?
26,"Za koliko studenata je MIT prikupio novac da pokrije školarinu, sobu i pansion?"
27,Koliki je procenat osoblja UNFPA koje radi na terenu?
28,Gde se vodila većina borbi u Prvom svetskom ratu?
29,Koji je proces pokrenut 2007. godine koji je uveo master diplome u politehnički obrazovni sistem?
30,Šta znači polifono?
31,"Kako se zove zajednički projekat TU Klausthal, TU Braunšvajg i Univerziteta u Hanoveru?"
32,Po čemu se kulturna antropologija naglađeno izdvajala od drugih nauka?
33,Kakvi su bili pogledi širom sveta na pobede Japana nad Rusima?
34,Šta je predmet proučavanja lingvističke antropologije?
35,Kiselost kog sastojka deluje kao konzervans u pivu?
36,Kada je nastala evoluciona fonologija?
37,Kako je definisan novi afroamerički identitet?
38,Kada je završena Velika depresija?
39,Gde je bila prva osmanska Vazduhoplovna škola?
40,Ko je u početku odbacio japanske zakone koji nalažu služenje vojnog roka?
41,Kojoj klasi pripada materijalizam?
42,Kada je korišćen koncept Održive arhitekture?
43,Koje godine je Tito otputovao u Kinu da bi se pomirio sa kineskim rukovodstvom?
44,Koja škola misli je emocije posmatrala kao prepreku vrlini?
45,Kada je objavljen prvi računarski crv?
46,Kako se ponekad pominje praslovenski?
47,Koja je starosna granica na olimpijskom turniru za muškarce?
48,Koji procenat Afroamerikanaca je bio na Floridi u 2010. godini?
49,Rutinska praksa imunologije može se najbolje karakterisati kao?
50,Šta se smatra da u značajnoj meri određuje kako osoba gleda na sebe?
51,Koje tri statistike uključuje HDI?
52,Za koje populacije je tipičan I2a1b1?
53,"Kada je ""Kao Gong Dži"" napisan?"
54,Koji deo vlade kontroliše budžet pravosuđa u mnogim zemljama u razvoju?
55,Ko je razvio teoriju društvene veze?
56,Kome je bio dozvoljen „privremeni ulazak” na jugoslovensku teritoriju?
57,Ko se smatrao lojalnim Moskvi?
58,Gde su bile brojne zajednice tamnoputih ljudi?
59,Koje pitanje je blisko povezano sa promenama biodiverziteta?
60,Gde je rangirana posećenost utakmicama Arsenala u odnosu na druge engleske klubove?
61,Od koje do koje godine je živeo Vilijam Vordsvort?
62,Tokom vrhunca kredne transgresije koliki je deo kopnene mase Zemlje bio pod vodom?
63,Na kom stadionu je odigrana prva utakmica Premijer lige van Engleske?
64,Koju vrednost može imati i odeća koja je dizajnirana da bude modna?
65,Tokom koje sezone su Arenalove gostujuće bile bele majce i beli ili crni šorcevi?
66,Kojim procesom je vođen proces obrade komponenti modela emocija?
67,Koje je godine bilo prvo FIFA Svetsko prvenstvo u fudbalu za žene?
68,Koji poznati novinar je podneo ostavku na mesto stranog dopisnika Tajmsa 1988. godine?
69,Da li Florida ima koristi od poreza?
70,Koja bitka je bila 1402. godine između Timura i Osmanskog carstva?
71,Današnji hrvatski jezik ima korene u kom drugom jeziku?
72,Koja zemlja je 1949. godine počela prenose koristeći sistem od 819 linija?
73,Šta feministička antropologija sama navodi da nastoji da smanji u istraživačkim nalazima?
74,Za koje populacije je Maljarčuk otkrio da su tipično češko poreklo mitohondrijske dezoksiribonukleinske kiseline?
75,Ko je smislio test dijalekata?
76,Šta je dovelo do stvaranja moderne industrijske privrede?
77,Iz koje su zemlje stručnjaci demantovali izveštaj NSA-e?
78,Kog dana je potpisan Sporazum o osnivačkim članovima?
79,Koji procenat potencijalno naseljivih zona tetrapode još nisu naselili?
80,U blizini koje regije je granica Balte?
81,Od kojih nacionalnosti se sastoji zapadnoslovenska grupa naroda ?
82,Šta mogu aerodromi sa malim saobraćajem da koriste kako bi uštedeli električnu energiju i troškove osoblje?
83,Kako je finansiranje UNFPA prvobitno odobreno?
84,Gde se u južnoj Evropi nalaze vlažnija područja?
85,Koje zemlje je Nikson predsednik?
86,Koja pesma Gans en' rouziz je postala singl broj jedan?
87,Šta antropologija proučava?
88,"Rasni, religiozni, etnički i profesionalni aspekti su aspekti čega?"
89,Koji roman iz 1876. godine je napisao Namik Kemal?
90,Koja vlada dodeljuje viteški orden Bate?
91,Koja partija dominira većim delom ostatka Floride?
92,Šta je Pravoslavna crkva mogla da sačuva u zamenu za prihvatanje vlasti Osmanskog carstva?
93,Iz kog veka datira fudbal u Engleskoj?
94,Šta je primer programa za video-telefonski poziv?
95,Koji instrument je postao veoma popularan među srednjom klasom u 19. veku?
96,Koja knjiga Nika Hornbija je dva puta adaptirana za film?
97,Koja su bila četiri korpusa osmanske vojske?
98,Koji je termin za osećaj uzbuđenja ili nerviranja koji stvara emocionalno iskustvo?
99,Koji je primer sistema koji ispunjava EAL6?
100,Šta je pljuvačka?
101,Koje vrste piva sa niskim sadržajem alkohola se ponekad  služe u školi?
102,"Kako se naziva osnovni, primitivni deo imunološkog sistema?"
103,"Od čega su sada navijači manje zavisni, u ovom vremenu satelita i društvenih medija?"
104,Koja vrsta komentara je sigurno na vrhu otkako se uvela bolja funkcija sortiranja 2013. godine?
105,Kako se zove grupa od četiri slova za oslobađanje životinja?
106,Za koga se smatralo da mu je Tito lojalan?
107,U kojoj epohi se pojavila neoklasična muzika?
108,Koja trajna struktura je nastala na Antarktiku?
109,Koliko je „palac dole“ glasova dobila zvanična Jutjubova izjavu o novom sistemu komentara u roku od dva dana?
110,Kako se mirisni režnjevi mozga sisara razlikuju po veličini od reženjeva reptila?
111,U kojoj knjizi se najranije pominje klasična muzika?
112,Koji bend je imao prvi glam meta album koji je dostigao prvo mesto na Bilbordovoj listi?
113,Koje zemlje je predsednik Stejpan Mesić ?
114,U kom periodu je sprovedena serija filogenomskih studija koje su pružilee podršku za češljaste meduze kao bazalnu liniju  životinja?
115,Šta je postala barokna truba?
116,Gde je pronađen mehanizam Antikitere 1901. godine?
117,Koji aerodrom u blizini Pariza je bio jedan od prvih koji je dodao civilne objekte za upravljanje putničkim saobraćajem?
118,Šta uzrokuje genetsko zagađenje?
119,Kog datuma je objavljen Izveštaj o ljudskom razvoju za 2013. godinu?
120,U kom takmičenju su Arsenal Dame bile jedini ženski tim koji je pobedio do 2009. godine?
121,Šta su nekoliko antropologa primetilo u vezi sa zapadnim umetničkim naporima i njihovim mestom u nezapadnim kontekstima?
122,Kako se zvao Osmanov sin koji je osvojio grad u Anadoliji?
123,Koji je maksimalno moguć broj poena za program ritmičke gimnastike?
124,Do koje godine je uglavnom prestao da se koristi ispit 11+?
125,U kom periodu su nastali mnogi instrumenti?
126,Do čega vodi pouzdana komunikacija u porodici?
127,Koji procenat učenika iz Bavarske je 2007. godine pohađao Gesamšule?
128,Ko je brazilski premijer za rasnu ravnopravnost?
129,Kancelarija za strateške usluge je primer čega u vreme rata?
130,Koja škola u Australiji nudi sanskrit kao studij?
131,Još jedan od ciljeva UNFPA je da sve porođaje učini kakvim?
132,Kada je pagansko slovensko stanovništvo hristijanizovano?
133,Da li se često dešava ubijanje divova?
134,Koja je najavtoritetnija klasifikacija koja se danas koristi?
135,Ko se u početku protivio ideji o stvaranju HDI?
136,Gde ide većina prihoda Jutjuba?
137,Kako su se u Evropi najčešće koristili srednjovekovni instrumenti?
