id,title,text
1,Biodiverzitet,"Konačno, unesena vrsta može nenamerno povrediti vrstu koja zavisi od vrste koju zamenjuje. U Belgiji, Prunus spinosa iz istočne Evrope olistava mnogo ranije od svojih zapadnoevropskih pandana, narušavajući navike hranjenja leptira Thecla betulae (koji se hrani lišćem). Uvođenje novih vrsta često ostavlja endemske i druge lokalne vrste nesposobne da se takmiče sa egzotičnim vrstama i da prežive. Egzotični organizmi mogu biti predatori, paraziti ili mogu jednostavno nadmašiti autohtone vrste u pogledu hranljivih materija, vode i svetlosti."
2,Videokonferencija,"Jedna od prvih demonstracija sposobnosti telekomunikacija da pomognu korisnicima znakovnog jezika da međusobno komuniciraju desila se kada je video-fonski AT&T (zaštićen kao „Pikčfon”) predstavljen javnosti na Svetskoj izložbi u Njujorku 1964. godine-dva gluva korisnika su mogla slobodno da komuniciraju jedan sa drugim između sajma i drugog grada. Različni univerziteti i druge organizacije, uključujući i objekat britanske telekomunikacije u Martlešamu, takođe su sproveli opsežna istraživanja o potpisivanju putem video-telefonije. Upotreba znakovnog jezika putem video-telefonije bila je otežana dugi niz godina zbog poteškoća u upotrebi preko spornih analognih bakarnih telefonskih linija, zajedno sa visokim troškovima kvalitetnijih ISDN (podataka) telefonskih linija. Ti faktori su uglavnom nestali sa uvođenjem efikasnijih video-kodeka i pojavom jeftinije ISDN podataka i IP (internet) usluga u devedesetim godina prošlog veka."
3,Indeks_ljudskog_razvoja,"Spisak ispod prikazuje najbolje rangiranu zemlju za svaku godinu Indeksa ljudskog razvoja. Norveška je bila najviše rangirana 12 puta, Kanada 8 puta, a zatim Japan, koji je bio najviše rangiran tri puta. Island je bio najviše rangiran dva puta."
4,Institut _za_ tehnologiju,"Prva politehnika u Hong Kongu je Hong Kong Politehnika, osnovana 1972. godine kroz unapređenje Hong Kong Tehničkog koledža (državna trgovačka škola pre 1947. godine). Druga politehnika, Gradska politehnika u Hong Kongu, osnovana je 1984. godine. Ove politehnike dodeljuju diplome, diplome višeg stepena, kao i akademske diplome. Kao i Ujedinjeno Kraljevstvo, ove dve politehnike dobile su status univerziteta 1994. godine, i preimenovane u Hong Kong politehnički univerzitet i gradski univerzitet u Hong Kongu. Univerzitet nauke i tehnologije u Hong Kongu, univerzitet usmeren na primenjene nauke, inženjering i poslovanje, osnovan je 1991. godine."
5,Emocija,"Društvene nauke često proučavaju emocije zbog uloge koju one igraju u ljudskoj kulturi i društvenim interakcijama. U sociologiji, emocije se proučavaju zbog uloge koju imaju u ljudskom društvu, društvenim obrascima i interakcijama, kao i u kulturi. U antropologiji, nauka o ljudima, istraživači koriste etnografiju kako bi sprovodili kontekstualne analize i međukulturne poređenja različitih ljudskih aktivnosti. Neka istraživanja u antropologiji proučavaju ulogu emocija u ljudskim aktivnostima. U oblasti komunikacionih nauka, kritički organizacioni istraživači proučavali su ulogu emocija u organizacijama, sa stanovišta menadžera, zaposlenih, pa čak i potrošača. Fokus na emocije u organizacijama može se pripisati konceptu emocionalnog rada Arlija Rasela Hočšilda. Univerzitet Kvinslend domaćin je EmoNet-u, e-mail distribucijskoj listi koja predstavlja mrežu akademika i olakšava naučnu diskusiju o svim pitanjima koja se odnose na proučavanje emocija u organizacionim okruženjima. Lista je uspostavljena u januaru 1997. godine i broji više od 700 članova širom sveta."
6,Aerodrom,"Mnogi veliki aerodromi se nalaze u blizini železničkih magistralnih puteva za bezprekorno povezivanje kombinovanog transporta, na primer aerodrom Frankfurt, amsterdamski aerodrom Shiphol, londonski aerodrom Hitrou, londonski aerodrom Getvik i londonski aerodrom Stansted. Takođe je uobičajeno povezivanje aerodroma i grada sa brzim prolazom, lakim železničkim linijama ili drugim ne-putnim sistemima javnog prevoza. Neki primeri ovoga bi uključivali vazdušni voz JFK na međunarodnom aerodromu Džona F. Kenedija u Njujorku, laganu železničku vezu koja ide od centra grada Sijetla do međunarodnog aerodroma Siatl-Takoma i srebrna linija T na međunarodnom aerodromu Logan u Bostonu od strane Masačusets uprave za transport  (MBTA). Takva veza smanjuje rizik od propušenih letova zbog zagušenja saobraćaja. Veliki aerodromi obično imaju pristup i preko autoputeva sa kontrolisanim pristupom („autoputevi”-bez naplatne rampe ili „autoputevi""), sa kojih motorna vozila ulaze u petlju odlaska ili petlju dolaska."
7,Tajms,"Književni dodatak Tajmsa (TLS) prvi put se pojavio 1902. godine kao dodatak Tajmsa, a 1914. godine je postao posebno plaćeni nedeljni časopis za književnost i društvo. Tajms i TLS su nastavili da budu u zajedničkom vlasništvu, a od 2012. godine TLS takođe objavljuje i Njuz Internešnal i blisko sarađuje sa Tajmsom, sa svojom onlajn verzijom koja se nalazi na sajtu Tajmsa, a njegove redakcije se nalaze u Tajms Hausu, Penington Strit, London."
8,Televizija_visoke_definicije,"Godine 1949., Francuska je započela svoje emitovanje sa sistemom od 819 linija (sa 737 aktivnih linija). Sistem je bio samo monohromatski, i korišćen je samo na VHF-u za prvi francuski TV kanal. Njegov rad je prestao da se koristi 1983. godine."
9,Televizija_visoke_definicije,"VDTV može biti snimljen na D-VHS (digitalni-VHS ili VHS za podatke), W-VHS (samo analogni), na digitalnom video zapisu koji podržava VDTV (na primer, DajrekTV digitalni video zapis visoke definicije, Skaj VD set-top boks, Diš Netvorks-vi VIP 622 ili VIP 722 visoko definisani prijemnici digitalnih video zapisa ili TiVo zapisi serija 3 ili VD), ili na HTPC spreman za VDTV. Neki kablovski prijemnici mogu da primaju ili snimaju dva ili više programa istovremeno u VDTV formatu, a VDTV programi, neki uključeni u mesečnu pretplatu na kablovsku uslugu, neki uz dodatnu naknadu, mogu se reprodukovati uz pomoć funkcije na zahtev kablovske kompanije."
10,Bol,"Šećer koji je konzumiran oralno smanjuje ukupno trajanje plača, ali ne i trajanje prvog plača kod novorođenčadi koja prolazi kroz bolan postupak (jednokratno ubadanje pete). Ne ublažava efekat bola na srčanu frekvenciju, a nedavna pojedinačna studija otkrila je da šećer nije značajno uticao na električnu aktivnost u mozgu novorođenčadi povezanu sa bolom jednu sekundu nakon ubadanja pete. Slatka oralna tečnost umereno smanjuje učestalost i trajanje plača izazvanog vakcinacijom kod dece uzrasta od jednog do dvanaest meseci."
