qid,pid,annotation
1,197,0
1,236,0
1,264,0
1,563,0
1,593,0
1,599,0
1,624,1
1,891,0
1,922,0
1,984,0
1,986,0
1,1099,0
1,1182,0
1,1234,0
1,1291,0
1,1407,0
1,1424,0
1,1465,0
1,1531,0
1,1702,0
2,112,0
2,136,0
2,138,0
2,162,0
2,216,0
2,363,0
2,404,0
2,493,0
2,494,0
2,508,0
2,851,0
2,857,0
2,1138,0
2,1156,1
2,1255,0
2,1264,0
2,1476,0
2,1494,0
2,1509,0
2,1548,0
3,106,0
3,142,0
3,181,1
3,215,0
3,246,0
3,249,0
3,713,0
3,740,0
3,966,0
3,1019,0
3,1051,0
3,1056,0
3,1118,0
3,1280,0
3,1361,0
3,1411,0
3,1487,0
3,1501,0
3,1609,0
3,1634,0
4,140,0
4,207,0
4,216,0
4,363,1
4,458,0
4,494,0
4,558,0
4,666,0
4,708,0
4,851,0
4,880,0
4,1138,0
4,1156,0
4,1255,0
4,1264,0
4,1368,0
4,1494,0
4,1542,0
4,1548,0
4,1656,0
5,45,0
5,283,0
5,301,0
5,336,0
5,402,0
5,415,0
5,455,0
5,459,0
5,516,0
5,747,0
5,762,1
5,816,0
5,821,0
5,972,0
5,1028,0
5,1203,0
5,1207,0
5,1249,0
5,1433,0
5,1712,0
6,15,0
6,196,0
6,221,0
6,301,0
6,459,0
6,652,0
6,909,0
6,991,0
6,1178,0
6,1203,0
6,1207,0
6,1349,0
6,1378,0
6,1391,0
6,1433,0
6,1435,0
6,1503,0
6,1543,0
6,1545,1
6,1583,0
7,10,0
7,134,0
7,157,0
7,290,0
7,479,0
7,512,0
7,573,0
7,574,0
7,613,0
7,745,0
7,937,0
7,968,0
7,1087,0
7,1168,0
7,1170,0
7,1265,0
7,1466,0
7,1662,0
7,1686,1
7,1716,0
8,72,0
8,73,0
8,239,0
8,316,0
8,369,1
8,491,0
8,526,0
8,582,0
8,618,1
8,662,0
8,676,0
8,924,0
8,938,0
8,1097,1
8,1192,0
8,1195,0
8,1456,0
8,1487,0
8,1562,0
8,1579,0
9,99,0
9,172,0
9,282,0
9,373,0
9,443,0
9,572,0
9,653,0
9,788,0
9,810,0
9,985,0
9,1084,0
9,1127,0
9,1132,0
9,1304,0
9,1305,1
9,1357,0
9,1381,0
9,1461,0
9,1639,0
9,1697,0
10,66,0
10,257,0
10,432,0
10,481,0
10,570,0
10,583,0
10,588,0
10,820,0
10,827,0
10,834,0
10,889,0
10,963,0
10,1016,0
10,1044,0
10,1070,0
10,1096,0
10,1196,0
10,1370,0
10,1417,0
10,1529,0
11,19,1
11,102,0
11,151,0
11,417,0
11,470,0
11,611,0
11,649,0
11,1002,0
11,1025,0
11,1111,0
11,1145,0
11,1159,0
11,1179,0
11,1199,0
11,1296,0
11,1297,0
11,1416,0
11,1423,0
11,1557,0
11,1566,0
12,69,0
12,72,0
12,84,0
12,243,0
12,316,0
12,327,0
12,369,0
12,395,0
12,491,0
12,502,0
12,526,0
12,582,0
12,662,0
12,1106,0
12,1113,0
12,1127,0
12,1192,0
12,1256,0
12,1304,1
12,1594,0
13,311,0
13,324,0
13,374,0
13,474,0
13,548,0
13,584,0
13,595,0
13,841,0
13,921,0
13,964,1
13,998,0
13,1050,0
13,1059,0
13,1085,0
13,1102,0
13,1262,0
13,1332,0
13,1589,0
13,1605,0
13,1626,0
14,9,0
14,79,0
14,131,0
14,144,0
14,407,0
14,480,0
14,657,0
14,658,1
14,830,0
14,860,0
14,996,0
14,1002,0
14,1022,0
14,1074,0
14,1115,0
14,1179,0
14,1231,0
14,1284,0
14,1307,0
14,1471,0
15,106,0
15,111,0
15,119,0
15,181,0
15,215,0
15,249,0
15,482,0
15,553,0
15,678,0
15,732,0
15,743,0
15,777,0
15,833,0
15,929,0
15,1411,0
15,1467,0
15,1498,0
15,1501,1
15,1624,0
15,1679,0
16,87,0
16,109,0
16,235,0
16,271,0
16,288,0
16,388,0
16,571,0
16,795,0
16,813,0
16,861,0
16,883,0
16,903,0
16,974,0
16,1018,0
16,1066,0
16,1174,0
16,1233,0
16,1310,0
16,1478,0
16,1520,0
17,197,0
17,264,0
17,368,0
17,452,0
17,465,0
17,487,0
17,593,0
17,599,0
17,622,0
17,624,0
17,729,0
17,855,0
17,901,0
17,1182,0
17,1335,0
17,1382,1
17,1531,0
17,1627,0
17,1643,0
17,1702,0
18,138,0
18,207,0
18,279,0
18,423,0
18,455,0
18,516,0
18,545,0
18,548,1
18,668,0
18,793,0
18,967,0
18,1028,0
18,1050,0
18,1125,0
18,1203,0
18,1292,0
18,1389,0
18,1470,0
18,1621,0
18,1686,0
19,44,0
19,141,0
19,160,0
19,313,0
19,475,0
19,729,0
19,769,0
19,828,1
19,901,0
19,1024,0
19,1026,0
19,1275,0
19,1325,0
19,1329,0
19,1427,0
19,1546,0
19,1580,0
19,1604,0
19,1715,0
19,1731,0
20,54,0
20,69,0
20,72,0
20,316,0
20,327,0
20,502,0
20,526,0
20,604,0
20,662,1
20,676,0
20,734,0
20,881,0
20,1010,0
20,1113,0
20,1192,0
20,1415,0
20,1487,0
20,1594,0
20,1661,0
20,1689,0
21,72,0
21,239,0
21,243,0
21,316,0
21,369,0
21,491,0
21,526,0
21,582,0
21,618,0
21,662,0
21,676,0
21,803,0
21,1030,0
21,1048,1
21,1186,0
21,1192,0
21,1415,0
21,1487,0
21,1533,0
21,1594,0
22,34,0
22,86,0
22,103,1
22,135,0
22,196,0
22,284,0
22,400,0
22,650,0
22,700,0
22,735,0
22,871,0
22,1114,0
22,1268,0
22,1383,0
22,1399,0
22,1445,0
22,1449,0
22,1591,0
22,1622,0
22,1640,0
23,213,0
23,246,0
23,282,0
23,294,0
23,373,0
23,377,0
23,419,0
23,443,0
23,590,0
23,601,0
23,740,0
23,781,0
23,879,1
23,1098,0
23,1175,0
23,1460,0
23,1461,0
23,1525,0
23,1586,0
23,1633,0
24,68,0
24,128,0
24,129,0
24,134,0
24,157,0
24,290,0
24,573,0
24,574,0
24,613,0
24,745,0
24,937,0
24,962,0
24,968,0
24,1087,0
24,1170,0
24,1214,0
24,1466,1
24,1559,0
24,1686,0
24,1716,0
25,108,0
25,213,0
25,282,0
25,294,0
25,376,0
25,552,0
25,590,0
25,781,0
25,788,0
25,926,0
25,959,0
25,1081,0
25,1090,0
25,1098,1
25,1100,0
25,1175,0
25,1461,1
25,1483,0
25,1512,0
25,1525,0
26,31,0
26,115,0
26,334,0
26,418,0
26,423,0
26,434,0
26,467,0
26,656,0
26,668,0
26,794,0
26,956,0
26,1057,0
26,1165,0
26,1208,0
26,1212,0
26,1285,0
26,1504,1
26,1718,0
26,1719,0
26,1724,0
27,23,0
27,100,1
27,110,0
27,209,0
27,230,0
27,273,0
27,637,0
27,674,0
27,687,0
27,699,0
27,701,0
27,712,0
27,795,0
27,865,0
27,919,0
27,1093,0
27,1405,0
27,1564,0
27,1704,0
27,1732,0
28,17,0
28,54,0
28,65,0
28,172,0
28,318,0
28,404,0
28,443,0
28,572,0
28,582,0
28,619,0
28,792,0
28,810,0
28,1033,0
28,1048,0
28,1068,1
28,1132,0
28,1151,0
28,1192,0
28,1536,0
28,1639,0
29,113,0
29,163,0
29,280,0
29,385,0
29,535,0
29,579,0
29,668,0
29,786,0
29,809,0
29,846,0
29,867,1
29,999,0
29,1031,0
29,1057,0
29,1058,0
29,1165,0
29,1200,0
29,1338,0
29,1502,0
29,1612,0
30,45,0
30,47,1
30,135,0
30,345,0
30,402,0
30,455,0
30,533,0
30,614,0
30,632,0
30,650,0
30,700,0
30,855,1
30,871,0
30,942,0
30,980,1
30,1203,0
30,1449,0
30,1591,0
30,1640,0
30,1664,0
31,186,0
31,334,0
31,385,0
31,423,0
31,434,0
31,467,0
31,579,0
31,656,0
31,668,0
31,697,0
31,756,1
31,794,0
31,846,0
31,958,0
31,1208,0
31,1347,0
31,1462,0
31,1621,0
31,1718,0
31,1719,0
32,202,0
32,303,0
32,442,0
32,481,0
32,570,0
32,583,0
32,820,0
32,827,0
32,834,0
32,876,0
32,889,0
32,908,0
32,940,0
32,1070,1
32,1096,0
32,1163,0
32,1327,0
32,1370,0
32,1529,0
32,1595,0
33,92,0
33,234,0
33,318,0
33,438,0
33,572,0
33,641,0
33,810,0
33,812,0
33,819,0
33,985,0
33,1068,0
33,1100,0
33,1132,0
33,1227,0
33,1254,0
33,1357,1
33,1381,0
33,1387,0
33,1434,0
33,1539,0
34,202,0
34,398,0
34,442,0
34,481,0
34,583,0
34,588,0
34,762,0
34,774,1
34,827,0
34,876,0
34,908,0
34,963,0
34,1044,0
34,1163,0
34,1196,0
34,1327,1
34,1370,0
34,1529,1
34,1541,0
34,1640,0
35,50,0
35,89,0
35,389,0
35,424,0
35,461,0
35,517,0
35,621,1
35,640,0
35,714,0
35,736,0
35,759,0
35,825,0
35,870,0
35,989,0
35,1029,0
35,1046,0
35,1049,0
35,1052,0
35,1142,0
35,1650,0
36,103,0
36,221,0
36,261,0
36,276,0
36,386,0
36,398,0
36,400,0
36,650,0
36,700,1
36,735,0
36,871,0
36,1114,0
36,1268,0
36,1383,0
36,1399,0
36,1435,0
36,1445,0
36,1449,0
36,1591,0
36,1640,0
37,60,0
37,112,0
37,136,0
37,138,0
37,162,0
37,207,0
37,277,0
37,378,0
37,840,0
37,857,0
37,880,0
37,978,0
37,1264,0
37,1476,1
37,1494,0
37,1509,0
37,1548,0
37,1642,0
37,1658,0
37,1668,0
38,69,0
38,318,0
38,375,0
38,377,0
38,426,0
38,556,0
38,653,0
38,711,0
38,731,0
38,748,0
38,961,0
38,1008,0
38,1221,0
38,1269,0
38,1381,0
38,1434,1
38,1490,0
38,1495,1
38,1530,0
38,1739,0
39,57,0
39,72,0
39,84,0
39,166,0
39,369,0
39,401,0
39,526,0
39,566,0
39,662,0
39,688,0
39,803,0
39,956,0
39,1010,0
39,1030,0
39,1048,1
39,1140,0
39,1192,0
39,1256,0
39,1286,0
39,1618,0
40,108,0
40,168,1
40,192,0
40,249,0
40,294,0
40,377,0
40,419,0
40,443,0
40,740,0
40,781,0
40,788,0
40,819,0
40,1081,0
40,1175,0
40,1254,0
40,1305,0
40,1357,0
40,1387,0
40,1485,0
40,1590,0
41,82,0
41,182,0
41,223,0
